cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,15,258,150,57.46212573959047,673.5859901345043,0.7143449650056877
70,14,258,146,57.46212573959047,673.9360873835928,0.7140918605741845
70,28,258,146,57.46212573959047,672.0166112147576,0.7152685637170662
70,15,262,150,57.46212573959047,673.565034062255,0.7143969004557865
70,15,258,150,57.46212573959047,673.5859901345043,0.7143449650056877
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,28,270,146,57.46212573959047,671.9530965623926,0.7153265095774886
70,14,262,146,57.46212573959047,673.9151204193956,0.7141437960242834
70,28,262,146,57.46212573959047,671.9957039677782,0.715320499167165
70,23,258,146,57.46212573959047,672.838633452789,0.7147298146387401
70,15,258,150,57.46212573959047,673.5859901345043,0.7143449650056877
70,24,258,146,57.46212573959047,672.62240042169,0.7152014108462272
70,15,262,146,57.46212573959047,673.6766362500617,0.7141977358166348
70,28,262,146,57.46212573959047,671.9957039677782,0.715320499167165
70,15,258,150,57.46212573959047,673.5859901345043,0.7143449650056877
70,21,262,146,57.46212573959047,673.0517971640722,0.714649447895365
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,23,270,150,57.46212573959047,672.6635882798832,0.7149869251383143
70,21,258,146,57.46212573959047,673.0727372684061,0.7145975124452661
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,15,258,150,57.46212573959047,673.5859901345043,0.7143449650056877
70,21,258,146,57.46212573959047,673.0727372684061,0.7145975124452661
70,15,262,146,57.46212573959047,673.6766362500617,0.7141977358166348
70,28,280,146,57.46212573959047,671.8984294475931,0.7154416449622557
70,23,258,146,57.46212573959047,672.838633452789,0.7147298146387401
70,23,258,150,57.46212573959047,672.7271700896656,0.7149289792778918
70,26,258,146,57.46212573959047,672.3752769908367,0.7152196222238948
70,23,270,150,57.46212573959047,672.6635882798832,0.7149869251383143
70,28,270,150,57.46212573959047,671.8417798985146,0.7155256742166403
70,15,270,146,57.46212573959047,673.6247784430795,0.7142037462269585
70,14,258,146,57.46212573959047,673.9360873835928,0.7140918605741845
70,23,258,146,57.46212573959047,672.838633452789,0.7147298146387401
70,23,262,146,57.46212573959047,672.8177006317069,0.7147817500888389
70,14,262,146,57.46212573959047,673.9151204193956,0.7141437960242834
70,14,262,146,57.46212573959047,673.9151204193956,0.7141437960242834
70,23,258,150,57.46212573959047,672.7271700896656,0.7149289792778918
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,23,258,146,57.46212573959047,672.838633452789,0.7147298146387401
70,14,262,146,57.46212573959047,673.9151204193956,0.7141437960242834
70,21,258,146,57.46212573959047,673.0727372684061,0.7145975124452661
70,16,262,146,57.46212573959047,673.4396989401622,0.7145784797242878
70,15,270,146,57.46212573959047,673.6247784430795,0.7142037462269585
70,14,258,146,57.46212573959047,673.9360873835928,0.7140918605741845
70,14,258,146,57.46212573959047,673.9360873835928,0.7140918605741845
70,16,258,146,57.46212573959047,673.4606511129637,0.7145265442741889
70,23,262,146,57.46212573959047,672.8177006317069,0.7147817500888389
70,28,258,146,57.46212573959047,672.0166112147576,0.7152685637170662
70,15,270,150,57.46212573959047,673.513184846108,0.7144029108661102
70,15,270,146,57.46212573959047,673.6247784430795,0.7142037462269585
70,26,258,146,57.46212573959047,672.3752769908367,0.7152196222238948
70,15,262,150,57.46212573959047,673.565034062255,0.7143969004557865
70,21,270,146,57.46212573959047,673.0091227978548,0.7146734160434137
70,28,258,146,57.46212573959047,672.0166112147576,0.7152685637170662
70,14,258,146,57.46212573959047,673.9360873835928,0.7140918605741845
70,23,270,146,57.46212573959047,672.7750411082127,0.7147877604991626
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,28,258,146,57.46212573959047,672.0166112147576,0.7152685637170662
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,28,270,150,57.46212573959047,671.8417798985146,0.7155256742166403
70,15,270,150,57.46212573959047,673.513184846108,0.7144029108661102
70,21,258,146,57.46212573959047,673.0727372684061,0.7145975124452661
70,21,258,146,57.46212573959047,673.0727372684061,0.7145975124452661
70,16,270,146,57.46212573959047,673.3878593719742,0.7145844901346114
70,15,258,146,57.46212573959047,673.6975957944977,0.714145800366536
70,28,280,146,57.46212573959047,671.8984294475931,0.7154416449622557
70,14,258,146,57.46212573959047,673.9360873835928,0.7140918605741845
70,24,258,146,57.46212573959047,672.62240042169,0.7152014108462272
70,21,258,146,57.46212573959047,673.0727372684061,0.7145975124452661
70,21,262,146,57.46212573959047,673.0517971640722,0.714649447895365
70,14,258,146,57.46212573959047,673.9360873835928,0.7140918605741845
70,15,258,150,57.46212573959047,673.5859901345043,0.7143449650056877
70,15,270,150,57.46212573959047,673.513184846108,0.7144029108661102
70,28,262,150,57.46212573959047,671.8843802454999,0.7155196638063167
