cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,244,150,12.69153192797546,433.23864760421213,0.5376361140548571
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,16,258,142,12.69153192797546,434.64565841854375,0.5353674384257076
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,148,150,12.69153192797546,433.0685681702512,0.5434424762516777
70,22,258,145,12.69153192797546,434.0828819731442,0.5355919710709421
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,22,249,150,12.69153192797546,433.9844931308381,0.5359300293392485
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,30,185,150,12.69153192797546,433.1507904094197,0.5406927147377552
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,192,150,12.69153192797546,433.164377509809,0.5404750465066008
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,22,258,142,12.69153192797546,434.13706131668425,0.5354292831542491
70,30,150,150,12.69153192797546,433.0745086117291,0.5427631598599719
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,22,249,150,12.69153192797546,433.9844931308381,0.5359300293392485
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,148,150,12.69153192797546,433.0685681702512,0.5434424762516777
70,13,258,77,12.69153192797546,436.3968161937546,0.5342123167190183
70,30,203,139,12.69153192797546,433.3818726590172,0.5375033401127273
70,30,148,150,12.69153192797546,433.0685681702512,0.5434424762516777
70,15,258,142,12.69153192797546,434.8069666579309,0.5349290297841562
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,30,148,150,12.69153192797546,433.0685681702512,0.5434424762516777
70,22,258,142,12.69153192797546,434.13706131668425,0.5354292831542491
70,27,258,145,12.69153192797546,433.6139454144449,0.5370646372465369
70,30,163,150,12.69153192797546,433.11010224152596,0.5420125031253252
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,148,150,12.69153192797546,433.0685681702512,0.5434424762516777
70,13,258,77,12.69153192797546,436.3968161937546,0.5342123167190183
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,203,138,12.69153192797546,433.3999966824441,0.5373125159120156
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,191,150,12.69153192797546,433.16249799105657,0.5406422690817331
70,30,202,150,12.69153192797546,433.1821087504137,0.537893311365862
70,27,258,138,12.69153192797546,433.7404994376853,0.5368365175650528
70,22,249,150,12.69153192797546,433.9844931308381,0.5359300293392485
70,22,258,145,12.69153192797546,434.0828819731442,0.5355919710709421
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,203,150,12.69153192797546,433.18377966275114,0.537652033356226
70,30,185,150,12.69153192797546,433.1507904094197,0.5406927147377552
70,30,143,150,12.69153192797546,433.05312636345656,0.5471793021600948
70,30,149,150,12.69153192797546,433.0715548211183,0.5431954717010599
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
70,30,185,150,12.69153192797546,433.1507904094197,0.5406927147377552
70,30,161,150,12.69153192797546,433.1049486642181,0.5422153601434072
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,145,150,12.69153192797546,433.05940663039974,0.5450387189885728
70,30,134,150,12.69153192797546,433.0465316006873,0.5499980588735552
70,30,199,150,12.69153192797546,433.17698709216756,0.5382809974177054
70,29,203,150,12.69153192797546,433.277405191338,0.5375783682832934
70,22,249,150,12.69153192797546,433.9844931308381,0.5359300293392485
70,29,203,138,12.69153192797546,433.4936689427732,0.5372388508390831
70,30,172,150,12.69153192797546,433.131967166229,0.5408994232486094
70,30,203,139,12.69153192797546,433.3818726590172,0.5375033401127273
70,30,164,150,12.69153192797546,433.1126375583039,0.5417481271906898
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,30,196,150,12.69153192797546,433.17169823674465,0.5388832654069512
70,13,258,77,12.69153192797546,436.3968161937546,0.5342123167190183
70,30,201,150,12.69153192797546,433.18041980342446,0.5379007624404804
