cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,28,280,142,189.6369999987237,6694.836550870545,1.0596166837612213
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,28,280,142,189.6369999987237,6694.836550870545,1.0596166837612213
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,23,280,150,189.6369999987237,6698.93527156514,1.0592841676535933
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,30,280,141,189.6369999987237,6692.307827649825,1.060808197762195
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,30,280,142,189.6369999987237,6692.028852490471,1.060892657845762
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,16,280,150,189.6369999987237,6703.380028561265,1.0578980483971303
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,16,280,150,189.6369999987237,6703.380028561265,1.0578980483971303
70,16,280,150,189.6369999987237,6703.380028561265,1.0578980483971303
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,28,280,142,189.6369999987237,6694.836550870545,1.0596166837612213
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,28,270,150,189.6369999987237,6698.837771077003,1.0593879119232943
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,28,270,150,189.6369999987237,6698.837771077003,1.0593879119232943
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,16,280,150,189.6369999987237,6703.380028561265,1.0578980483971303
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
69,16,270,150,189.6369999987237,6716.304297615234,1.0574164069593812
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,16,280,150,189.6369999987237,6703.380028561265,1.0578980483971303
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,30,280,142,189.6369999987237,6692.028852490471,1.060892657845762
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,21,280,150,189.6369999987237,6700.489292478496,1.0591950830812136
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
69,15,270,150,189.6369999987237,6716.76967146027,1.057407645592438
70,30,280,141,189.6369999987237,6692.307827649825,1.060808197762195
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,18,280,150,189.6369999987237,6702.097004120474,1.0581733132986
70,23,280,150,189.6369999987237,6698.93527156514,1.0592841676535933
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,28,280,150,189.6369999987237,6692.614237425312,1.0596645579410953
70,20,280,150,189.6369999987237,6700.721503961112,1.0591515352085594
70,30,280,150,189.6369999987237,6689.8074710449655,1.060940532025636
70,30,280,142,189.6369999987237,6692.028852490471,1.060892657845762
